sentence1,sentence2,label
apa yang harus dilakukan mahasiswa sebelum mendaftar magang mandiri yang tidak bekerjasama dengan dte misal magang berdampak,apakah s1 teknik biomedik ftui memiliki akreditasi iabee,0
siapa anggota tim tk untuk program studi teknik komputer,siapa ya anggota tim tk untuk program studi teknik komputer,1
siapa anggota tim tk untuk program studi teknik komputer,mohon info anggota tim tk program studi teknik komputer,1
siapa anggota tim tk untuk program studi teknik komputer,apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,0
siapa anggota tim tk untuk program studi teknik komputer,apa nomor telepon dan fax dte ftui,0
bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,gimana rumus menghitung maksimum sks yang bisa ditransferkreditkan dari magang mandiri,1
bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,tolong jelaskan rumus menghitung maksimum sks ditransferkreditkan magang mandiri,1
bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,bagaimana cara mahasiswa mendapatkan informasi terkini tentang magang mandiri dan pembelajaran mandiri,0
bagaimana rumus menghitung maksimum sks yang dapat ditransferkreditkan dari magang mandiri,bagaimana prosedur pengajuan permohonan izin penelitian dan pengambilan data ke ftui,0
apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,apakah benar bisa mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,1
apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,tolong jelaskan mentransferkreditkan kursus online isinya sama dengan mata,1
apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,sebutkan 3 research group di dte ftui beserta ketua research group-nya,0
apakah boleh mentransferkreditkan kursus online yang isinya sama dengan mata kuliah wajib di kurikulum,apakah masih ada kelas ekstensi paralel jalur d3 di ftui,0
platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,platform pembelajaran online apa aja yang saat ini diakui dte untuk pembelajaran mandiri,1
platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,saya ingin tahu platform pembelajaran online saja ini diakui dte,1
platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,research group mana yang fokus pada keamanan sistem jaringan dan embedded,0
platform pembelajaran online apa saja yang saat ini diakui dte untuk pembelajaran mandiri,apakah pasti diterima sebagai mahasiswa ui jika dinyatakan lulus pada salah satu jalur masuk,0
bukti apa yang diperlukan untuk transfer kredit pembelajaran mandiri,mohon info bukti diperlukan transfer kredit pembelajaran mandiri,1
bukti apa yang diperlukan untuk transfer kredit pembelajaran mandiri,apa kepanjangan dari synapse-ai dan siapa ketuanya,0
bukti apa yang diperlukan untuk transfer kredit pembelajaran mandiri,apakah bisa siswa jurusan ipa mengambil prodi jurusan ips,0
kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,jadwal proses pengajuan transfer kredit magang mandiri harus dilaksanakan,1
kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,saya ingin tahu proses pengajuan transfer kredit magang mandiri dilaksanakan,1
kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,research group mana yang fokus pada motor listrik dan sistem kendali cerdas,0
kapan proses pengajuan transfer kredit magang mandiri harus dilaksanakan,apakah bisa siswa jurusan ips mengambil prodi jurusan ipa,0
apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,apa aja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,1
apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,saya ingin tahu saja dokumen dikirimkan transfer kredit magang mandiri,1
apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,siapa ketua dari research group for energy transition regret,0
apa saja dokumen yang harus dikirimkan saat transfer kredit magang mandiri,sekolah dengan kurikulum internasional apakah bisa mendaftar pdss,0
apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,apakah benar magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,1
apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,tolong jelaskan magang mandiri ditransferkreditkan menjadi magang wajib tetap,1
apakah magang mandiri yang akan ditransferkreditkan menjadi magang wajib tetap harus mendaftar di d-office,apa alamat lengkap departemen teknik elektro ftui,0
